name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Item 4,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 4,,,,,,,,,,,,Compute (Python),Transformation,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 4,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 4,,,,,,,,,,,,Compute (Python),Query,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 5,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 5,,,,,,,,,,,,Compute (SQL),Transformation,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 5,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 5,,,,,,,,,,,,Compute (SQL),Query,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 5,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 5,,,,,,,,,,,,Compute (Python),Transformation,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 5,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 5,,,,,,,,,,,,Compute (Python),Query,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 6,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,Apache License 2.0,,This is the description of item 6,,,,,,,,,,,,Data Catalog,Apache Hudi,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 6,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,Apache License 2.0,,This is the description of item 6,,,,,,,,,,,,Data Catalog,Apache Iceberg,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 6,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,Apache License 2.0,,This is the description of item 6,,,,,,,,,,,,Data Catalog,Delta Lake,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 6,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,Apache License 2.0,,This is the description of item 6,,,,,,,,,,,,Data Storage,Object Store,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 7,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,Apache License 2.0,,This is the description of item 7,,,,,,,,,,,,Data Catalog,Apache Hudi,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 7,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,Apache License 2.0,,This is the description of item 7,,,,,,,,,,,,Data Catalog,Apache Iceberg,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 7,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,Apache License 2.0,,This is the description of item 7,,,,,,,,,,,,Data Catalog,Delta Lake,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 7,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,Apache License 2.0,,This is the description of item 7,,,,,,,,,,,,Data Storage,Object Store,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 8,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,This is the description of item 8,,,,,,,,,,,,Data Catalog,Apache Hudi,,,,,,,,,,,,,,,,,,,,,,,,
Item 8,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,This is the description of item 8,,,,,,,,,,,,Data Catalog,Apache Iceberg,,,,,,,,,,,,,,,,,,,,,,,,
Item 8,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,This is the description of item 8,,,,,,,,,,,,Data Catalog,Delta Lake,,,,,,,,,,,,,,,,,,,,,,,,
Item 8,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,This is the description of item 8,,,,,,,,,,,,Data Storage,Object Store,,,,,,,,,,,,,,,,,,,,,,,,
Item 9,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 9,,,,,,,,,,,,Data Storage,HDFS,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
StarRocks,,https://starrocks.io,logos/b5dad723ce1e59ec6b896c409b10083c8fbf0fb78fb30e74005726e2463b11fe.png,,,,,,,Apache License 2.0,,An OLAP engine,,,,,,,,,,,,Compute (SQL),Ingestion,true,https://github.com/StarRocks/starrocks,8773,"StarRocks, a Linux Foundation project, is a next-generation sub-second MPP OLAP database for full analytics scenarios, including multi-dimensional analytics, real-time analytics, and ad-hoc queries.  ",2024-10-12,https://github.com/StarRocks/starrocks/commit/b550d075abdb5453b3e09b2de6dae53fb83fce52,2024-09-30,https://github.com/StarRocks/starrocks/releases/tag/3.3.4,2021-09-04,https://github.com/StarRocks/starrocks/commit/5fa55b8199f3b50fbb06ad686f979ec9d87da37d,406,https://github.com/StarRocks/starrocks/graphs/contributors,,,,,,,,,,,,
